,0,1,2,3,4,5,6,7,8,9,10,11
2025-07,100.0,88.40188806473364,79.60215778826702,72.2184760620364,63.58732299393122,56.675657451112606,50.87660148347943,46.089008766014835,41.03169251517195,36.74983142279164,33.34457181389076,29.871881321645315
2025-08,100.0,88.822913028292,79.70660146699267,71.74292699965072,64.5127488648271,58.260565840027944,52.70695075096054,47.67726161369193,42.43800209570381,38.17673768774013,34.54418442193503,
2025-09,100.0,89.16019237883833,79.61524232334443,71.77210506844247,63.743988161302255,57.491675915649274,51.6093229744728,46.98483166851646,42.360340362560116,37.92082870884202,,
2025-10,100.0,88.49252013808976,78.51937092443421,70.57920981971616,63.36785577291907,57.23053317990027,51.208285385500574,46.183352512466435,41.46528576908324,,,
2025-11,100.0,89.37388193202148,79.89266547406082,70.73345259391772,63.112701252236135,57.31663685152058,51.914132379248656,45.7602862254025,,,,
2025-12,100.0,89.54035468693449,80.27506333695258,71.26311979732175,64.27795874049946,57.1480275063337,51.10387260224394,,,,,
2026-01,100.0,89.8762157382847,80.1945181255526,71.44120247568524,65.16357206012378,54.907161803713535,,,,,,
2026-02,100.0,90.02284843869002,80.997715156131,73.3054074638233,65.65118050266565,,,,,,,
2026-03,100.0,88.7237479806139,78.90145395799676,71.2762520193861,,,,,,,,
2026-04,100.0,89.54744525547446,79.7080291970803,,,,,,,,,
2026-05,100.0,86.14012738853503,,,,,,,,,,
2026-06,100.0,,,,,,,,,,,
